from,to,distance
Cairo,Cairo,0
Cairo,Giza,10031
Cairo,Alexandria,217833
Cairo,Madīnat as Sādis min Uktūbar,40104
Cairo,Shubrā al Khaymah,11929
Cairo,Al Manşūrah,131308
Cairo,Ḩalwān,34843
Cairo,Al Maḩallah al Kubrá,117104
Cairo,Port Said,194721
Cairo,Suez,137913
Cairo,Ţanţā,91426
Cairo,Asyūţ,372996
Cairo,Al Fayyūm,105203
Cairo,Az Zaqāzīq,86402
Cairo,Ismailia,123245
Cairo,Kafr ad Dawwār,237555
Cairo,Aswān,873556
Cairo,Damanhūr,157529
Cairo,Al Minyā,272578
Cairo,Damietta,241615
Cairo,Qinā,580845
Cairo,Banī Suwayf,153511
Cairo,Luxor,660942
Cairo,Sūhāj,512360
Cairo,Shibīn al Kawm,89797
Cairo,Al ‘Arīsh,323932
Cairo,Banhā,51627
Cairo,Al Ghardaqah,466148
Cairo,Kafr ash Shaykh,130528
Cairo,Mallawī,319580
Cairo,Disūq,169435
Cairo,Bilbays,64631
Cairo,Idfū,766231
Cairo,Mīt Ghamr,90190
Cairo,Munūf,103736
Cairo,Jirjā,519274
Cairo,Akhmīm,507414
Cairo,Ziftá,95919
Cairo,Manfalūţ,373995
Cairo,Maghāghah,214909
Cairo,Al Qūşīyah,352740
Cairo,Abnūb,362708
Cairo,Samannūd,116542
Cairo,Abū Qīr,245858
Cairo,Al Khārjah,601648
Cairo,Al Balyanā,536586
Cairo,Naj‘ Ḩammādī,569804
Cairo,Al Karnak,659398
Cairo,Qiman al ‘Arūs,111402
Cairo,Qahā,28232
Cairo,Hirrīyat Raznah,91539
Cairo,Mīt Namā,11927
Cairo,Kafr Shukr,69249
Cairo,Shārūnah,216403
Cairo,Banī Murr,368529
Cairo,Sunbāţ,103307
Cairo,Banī Ḩasan ash Shurūq,304343
Cairo,Biyahmū,97276
Cairo,Al Madāmūd,649784
Cairo,Birqāsh,32365
Cairo,Mīt Damsīs,103973
Cairo,Aţ Ţūr,399552
Cairo,Qufādah,218502
Cairo,Shanhūr,627184
Cairo,Dayr al Jarnūs,209397
Cairo,Samālūţ,249437
Cairo,Banī Mazār,223894
Cairo,Armant,655717
Cairo,Kawm Umbū,838969
Cairo,Būr Fu’ād,198993
Cairo,Rosetta,272114
Cairo,Isnā,715026
Cairo,Hihyā,100446
Cairo,Maţrūḩ,450522
Cairo,Dandarah,585677
Cairo,Maţāy,232071
Cairo,Şān al Ḩajar al Qiblīyah,169228
Cairo,Dayr Mawās,326467
Cairo,Ihnāsyā al Madīnah,145776
Cairo,Fāraskūr,179434
Cairo,Darāw,846792
Cairo,Ra’s Ghārib,317271
Cairo,Al Ḩusaynīyah,158142
Cairo,Safājā,520892
Cairo,Al Quşayr,609048
Cairo,Qifţ,613968
Cairo,Kafr Sa‘d,176422
Cairo,Sīwah,749687
Cairo,Fāyīd,125680
Cairo,Naqādah,614441
Cairo,Dayr Abū Ḩinnis,322230
Cairo,Al Ḩībah,195212
Cairo,Sakhā,129349
Cairo,Qantīr,131968
Cairo,Sidmant al Jabal,145776
Cairo,Dayr al Barshā,319853
Cairo,Aḑ Ḑab‘ah,321118
Cairo,Dishāshah,160671
Cairo,Burj al ‘Arab,221733
Cairo,Sawādah,271388
Cairo,Abjīj,110180
Cairo,Dayr as Sanqūrīyah,219667
Cairo,Ţihnā al Jabal,255340
Cairo,As Sallūm,660652
Cairo,Al ‘Alamayn,262122
Cairo,Mandīshah,363089
Cairo,Qaşr al Farāfirah,545130
Cairo,Al Qaşr,807907
Cairo,Barnīs,897411
Giza,Cairo,11621
Giza,Giza,0
Giza,Alexandria,222367
Giza,Madīnat as Sādis min Uktūbar,37347
Giza,Shubrā al Khaymah,20776
Giza,Al Manşūrah,151583
Giza,Ḩalwān,24533
Giza,Al Maḩallah al Kubrá,137470
Giza,Port Said,205336
Giza,Suez,144778
Giza,Ţanţā,111792
Giza,Asyūţ,366924
Giza,Al Fayyūm,95090
Giza,Az Zaqāzīq,100362
Giza,Ismailia,133861
Giza,Kafr ad Dawwār,242089
Giza,Aswān,867484
Giza,Damanhūr,177896
Giza,Al Minyā,266507
Giza,Damietta,252231
Giza,Qinā,574773
Giza,Banī Suwayf,143398
Giza,Luxor,654870
Giza,Sūhāj,506288
Giza,Shibīn al Kawm,124089
Giza,Al ‘Arīsh,334548
Giza,Banhā,71993
Giza,Al Ghardaqah,459031
Giza,Kafr ash Shaykh,150895
Giza,Mallawī,313508
Giza,Disūq,189802
Giza,Bilbays,79486
Giza,Idfū,760159
Giza,Mīt Ghamr,110465
Giza,Munūf,108270
Giza,Jirjā,513203
Giza,Akhmīm,501342
Giza,Ziftá,116194
Giza,Manfalūţ,367923
Giza,Maghāghah,204796
Giza,Al Qūşīyah,346668
Giza,Abnūb,356636
Giza,Samannūd,136817
Giza,Abū Qīr,250392
Giza,Al Khārjah,591535
Giza,Al Balyanā,530514
Giza,Naj‘ Ḩammādī,563732
Giza,Al Karnak,653326
Giza,Qiman al ‘Arūs,101289
Giza,Qahā,48599
Giza,Hirrīyat Raznah,102450
Giza,Mīt Namā,20774
Giza,Kafr Shukr,89525
Giza,Shārūnah,210332
Giza,Banī Murr,362457
Giza,Sunbāţ,123582
Giza,Banī Ḩasan ash Shurūq,298272
Giza,Biyahmū,87163
Giza,Al Madāmūd,643712
Giza,Birqāsh,38053
Giza,Mīt Damsīs,124248
Giza,Aţ Ţūr,406416
Giza,Qufādah,208389
Giza,Shanhūr,621112
Giza,Dayr al Jarnūs,199284
Giza,Samālūţ,239324
Giza,Banī Mazār,217822
Giza,Armant,649646
Giza,Kawm Umbū,832897
Giza,Būr Fu’ād,209608
Giza,Rosetta,276649
Giza,Isnā,708955
Giza,Hihyā,110729
Giza,Maţrūḩ,455056
Giza,Dandarah,579605
Giza,Maţāy,225999
Giza,Şān al Ḩajar al Qiblīyah,179843
Giza,Dayr Mawās,320396
Giza,Ihnāsyā al Madīnah,135663
Giza,Fāraskūr,199710
Giza,Darāw,840720
Giza,Ra’s Ghārib,310154
Giza,Al Ḩusaynīyah,168757
Giza,Safājā,513775
Giza,Al Quşayr,601930
Giza,Qifţ,607896
Giza,Kafr Sa‘d,196698
Giza,Sīwah,754222
Giza,Fāyīd,136296
Giza,Naqādah,608369
Giza,Dayr Abū Ḩinnis,316159
Giza,Al Ḩībah,189140
Giza,Sakhā,149716
Giza,Qantīr,146823
Giza,Sidmant al Jabal,135663
Giza,Dayr al Barshā,313781
Giza,Aḑ Ḑab‘ah,325652
Giza,Dishāshah,150558
Giza,Burj al ‘Arab,226267
Giza,Sawādah,265316
Giza,Abjīj,100068
Giza,Dayr as Sanqūrīyah,209554
Giza,Ţihnā al Jabal,249268
Giza,As Sallūm,665187
Giza,Al ‘Alamayn,266656
Giza,Mandīshah,360276
Giza,Qaşr al Farāfirah,542318
Giza,Al Qaşr,805094
Giza,Barnīs,890294
Alexandria,Cairo,218616
Alexandria,Giza,221834
Alexandria,Alexandria,0
Alexandria,Madīnat as Sādis min Uktūbar,211441
Alexandria,Shubrā al Khaymah,226179
Alexandria,Al Manşūrah,233914
Alexandria,Ḩalwān,258441
Alexandria,Al Maḩallah al Kubrá,153552
Alexandria,Port Said,259974
Alexandria,Suez,354740
Alexandria,Ţanţā,125659
Alexandria,Asyūţ,591452
Alexandria,Al Fayyūm,297217
Alexandria,Az Zaqāzīq,249370
Alexandria,Ismailia,346958
Alexandria,Kafr ad Dawwār,31984
Alexandria,Aswān,1071503
Alexandria,Damanhūr,63833
Alexandria,Al Minyā,470676
Alexandria,Damietta,209466
Alexandria,Qinā,799301
Alexandria,Banī Suwayf,345525
Alexandria,Luxor,879398
Alexandria,Sūhāj,730816
Alexandria,Shibīn al Kawm,140915
Alexandria,Al ‘Arīsh,489614
Alexandria,Banhā,215169
Alexandria,Al Ghardaqah,678740
Alexandria,Kafr ash Shaykh,124352
Alexandria,Mallawī,538036
