from,to,distance
Cairo,Cairo,0.0
Cairo,Giza,8130.076718055378
Cairo,Alexandria,179428.90354358967
Cairo,Madīnat as Sādis min Uktūbar,32919.67917296592
Cairo,Shubrā al Khaymah,8066.131670815564
Cairo,Al Manşūrah,111372.29538149449
Cairo,Ḩalwān,25509.199054074368
Cairo,Al Maḩallah al Kubrá,101493.32362302048
Cairo,Port Said,166116.4566179965
Cairo,Suez,124980.47090932056
Cairo,Ţanţā,84056.1446241634
Cairo,Asyūţ,319109.48963390285
Cairo,Al Fayyūm,92777.58019037533
Cairo,Az Zaqāzīq,62042.911211023835
Cairo,Ismailia,114715.02454657538
Cairo,Kafr ad Dawwār,160942.5437966354
Cairo,Aswān,683550.7249490311
Cairo,Damanhūr,132997.36717081335
Cairo,Al Minyā,224461.62603475587
Cairo,Damietta,161192.48478266672
Cairo,Qinā,456090.1134013186
Cairo,Banī Suwayf,111047.36675337888
Cairo,Luxor,503933.6622559098
Cairo,Sūhāj,391194.406483419
Cairo,Shibīn al Kawm,67912.31432915601
Cairo,Al ‘Arīsh,272433.27767920407
Cairo,Banhā,45585.02730749814
Cairo,Al Ghardaqah,399735.55685015727
Cairo,Kafr ash Shaykh,119336.65988457135
Cairo,Mallawī,261454.02356005623
Cairo,Disūq,132233.6881653946
Cairo,Bilbays,50954.952716276544
Cairo,Idfū,587312.8221668524
Cairo,Mīt Ghamr,73767.50965796702
Cairo,Munūf,54302.92187603284
Cairo,Jirjā,417880.34126911126
Cairo,Akhmīm,391435.3784885132
Cairo,Ziftá,72921.63289350153
Cairo,Manfalūţ,306168.03934713424
Cairo,Maghāghah,161203.86153670447
Cairo,Al Qūşīyah,293745.5579551161
Cairo,Abnūb,310289.7126451758
Cairo,Samannūd,100754.16069768263
Cairo,Abū Qīr,179505.69066513603
Cairo,Al Khārjah,517746.5252235831
Cairo,Al Balyanā,431595.5430445662
Cairo,Naj‘ Ḩammādī,456355.40470539755
Cairo,Al Karnak,502062.2951123846
Cairo,Qiman al ‘Arūs,84299.18758909056
Cairo,Qahā,25545.837919641264
Cairo,Hirrīyat Raznah,67174.10513835242
Cairo,Mīt Namā,9930.714166614669
Cairo,Kafr Shukr,54651.265938699486
Cairo,Shārūnah,166867.9679472888
Cairo,Banī Murr,314589.96889513626
Cairo,Sunbāţ,83409.58109397512
Cairo,Banī Ḩasan ash Shurūq,238894.4713244195
Cairo,Biyahmū,84934.18164767325
Cairo,Al Madāmūd,501982.5218029395
Cairo,Birqāsh,22798.736224295993
Cairo,Mīt Damsīs,85701.94456200977
Cairo,Aţ Ţūr,307204.8133565365
Cairo,Qufādah,170581.80031983613
Cairo,Shanhūr,490381.8695012246
Cairo,Dayr al Jarnūs,168886.41448793354
Cairo,Samālūţ,201754.68571903
Cairo,Banī Mazār,178200.93085163052
Cairo,Armant,509755.61543915246
Cairo,Kawm Umbū,644069.9192926849
Cairo,Būr Fu’ād,166944.19016673655
Cairo,Rosetta,168878.07020943277
Cairo,Isnā,545231.199880117
Cairo,Hihyā,75987.749308729
Cairo,Maţrūḩ,408494.42299806024
Cairo,Dandarah,457244.75410771655
