city,lat,lng
Cairo,30.0561,31.2394
Giza,29.9870,31.2118
Alexandria,31.2000,29.9167
Madīnat as Sādis min Uktūbar,29.9361,30.9269
Shubrā al Khaymah,30.1286,31.2422
Al Manşūrah,31.0500,31.3833
Ḩalwān,29.8419,31.3342
Al Maḩallah al Kubrá,30.9667,31.1667
Port Said,31.2500,32.2833
Suez,29.9667,32.5333
Ţanţā,30.7833,31.0000
Asyūţ,27.1869,31.1714
Al Fayyūm,29.3000,30.8333
Az Zaqāzīq,30.5667,31.5000
Ismailia,30.5833,32.2667
Kafr ad Dawwār,31.1417,30.1272
Aswān,24.0889,32.8997
Damanhūr,31.0500,30.4667
Al Minyā,28.0833,30.7500
Damietta,31.4167,31.8214
Qinā,26.1667,32.7167
Banī Suwayf,29.0667,31.0833
Luxor,25.6969,32.6422
Sūhāj,26.5606,31.6917
Shibīn al Kawm,30.5920,30.9000
Al ‘Arīsh,31.1249,33.8006
Banhā,30.4628,31.1797
Al Ghardaqah,27.2578,33.8117
Kafr ash Shaykh,31.1000,30.9500
Mallawī,27.7306,30.8425
Disūq,31.1308,30.6479
Bilbays,30.4167,31.5667
Idfū,24.9781,32.8789
Mīt Ghamr,30.7192,31.2628
Munūf,30.4667,30.9333
Jirjā,26.3419,31.8894
Akhmīm,26.5642,31.7461
Ziftá,30.7119,31.2394
Manfalūţ,27.3128,30.9703
Maghāghah,28.6483,30.8422
Al Qūşīyah,27.4403,30.8183
Abnūb,27.2667,31.1500
Samannūd,30.9622,31.2425
Abū Qīr,31.3167,30.0667
Al Khārjah,25.4400,30.5500
Al Balyanā,26.2329,31.9993
Naj‘ Ḩammādī,26.0500,32.2500
Al Karnak,25.7184,32.6581
Qiman al ‘Arūs,29.3005,31.1683
Qahā,30.2833,31.2000
Hirrīyat Raznah,30.6028,31.5372
Mīt Namā,30.1453,31.2343
Kafr Shukr,30.5470,31.2673
Shārūnah,28.5940,30.8516
Banī Murr,27.2272,31.1944
Sunbāţ,30.8057,31.2070
Banī Ḩasan ash Shurūq,27.9314,30.8753
Biyahmū,29.3696,30.8538
Al Madāmūd,25.7333,32.7125
Birqāsh,30.1692,31.0417
Mīt Damsīs,30.8267,31.2226
Aţ Ţūr,28.2333,33.6167
Qufādah,28.5812,30.7554
Shanhūr,25.8604,32.7779
Dayr al Jarnūs,28.6100,30.7067
Samālūţ,28.3000,30.7167
Banī Mazār,28.5000,30.8000
Armant,25.6167,32.5333
Kawm Umbū,24.4667,32.9500
Būr Fu’ād,31.2314,32.3253
Rosetta,31.4014,30.4194
Isnā,25.2933,32.5564
Hihyā,30.6687,31.5904
Maţrūḩ,31.3333,27.2333
Dandarah,26.1422,32.6697
Maţāy,28.4167,30.7833
Şān al Ḩajar al Qiblīyah,30.9769,31.8800
Dayr Mawās,27.6414,30.8494
Ihnāsyā al Madīnah,29.0856,30.9344
Fāraskūr,31.3297,31.7147
Darāw,24.4003,32.9306
Ra’s Ghārib,28.3597,33.0775
Al Ḩusaynīyah,30.8612,31.9190
Safājā,26.7517,33.9344
Al Quşayr,26.1091,34.2760
Qifţ,26.0000,32.8167
Kafr Sa‘d,31.3557,31.6848
Sīwah,29.2000,25.5167
Fāyīd,30.3261,32.2986
Naqādah,25.9017,32.7242
Dayr Abū Ḩinnis,27.7864,30.9050
Al Ḩībah,28.8000,30.9167
Sakhā,31.0881,30.9456
Qantīr,30.8032,31.8379
Sidmant al Jabal,29.0856,30.9344
Dayr al Barshā,27.7572,30.9100
Aḑ Ḑab‘ah,31.0338,28.4333
Dishāshah,28.9831,30.8492
Burj al ‘Arab,30.9167,29.5333
Sawādah,28.0775,30.7953
Abjīj,29.2861,30.8152
Dayr as Sanqūrīyah,28.4833,30.6500
Ţihnā al Jabal,28.1889,30.7694
As Sallūm,31.5525,25.1575
Al ‘Alamayn,30.8333,28.9500
Mandīshah,28.3515,28.9317
Qaşr al Farāfirah,27.0671,27.9666
Al Qaşr,25.6959,28.8837
Barnīs,23.9460,35.4842
