from,to,distance
Cairo,Cairo,0
Cairo,Giza,10031
Cairo,Alexandria,217833
Cairo,Madinat as Sadis min Uktubar,40104
Cairo,Shubra al Khaymah,11929
Cairo,Al Mansurah,131308
Cairo,Halwan,34843
Cairo,Al Mahallah al Kubra,117104
Cairo,Port Said,194721
Cairo,Suez,137913
Cairo,Tanta,91426
Cairo,Asyut,372996
Cairo,Al Fayyum,105203
Cairo,Az Zaqaziq,86402
Cairo,Ismailia,123245
Cairo,Kafr ad Dawwar,237555
Cairo,Aswan,873556
Cairo,Damanhur,157529
Cairo,Al Minya,272578
Cairo,Damietta,241615
Cairo,Qina,580845
Cairo,Bani Suwayf,153511
Cairo,Luxor,660942
Cairo,Suhaj,512360
Cairo,Shibin al Kawm,89797
Cairo,Al 'Arish,323932
Cairo,Banha,51627
Cairo,Al Ghardaqah,466148
Cairo,Kafr ash Shaykh,130528
Cairo,Mallawi,319580
Cairo,Disuq,169435
Cairo,Bilbays,64631
Cairo,Idfu,766231
Cairo,Mit Ghamr,90190
Cairo,Munuf,103736
Cairo,Jirja,519274
Cairo,Akhmim,507414
Cairo,Zifta,95919
Cairo,Manfalut,373995
Cairo,Maghaghah,214909
Cairo,Al Qusiyah,352740
Cairo,Abnub,362708
Cairo,Samannud,116542
Cairo,Abu Qir,245858
Cairo,Al Kharjah,601648
Cairo,Al Balyana,536586
Cairo,Naj' Hammadi,569804
Cairo,Al Karnak,659398
Cairo,Qiman al 'Arus,111402
Cairo,Qaha,28232
Cairo,Hirriyat Raznah,91539
Cairo,Mit Nama,11927
Cairo,Kafr Shukr,69249
Cairo,Sharunah,216403
Cairo,Bani Murr,368529
Cairo,Sunbat,103307
Cairo,Bani Hasan ash Shuruq,304343
Cairo,Biyahmu,97276
Cairo,Al Madamud,649784
Cairo,Birqash,32365
Cairo,Mit Damsis,103973
Cairo,At Tur,399552
Cairo,Qufadah,218502
Cairo,Shanhur,627184
Cairo,Dayr al Jarnus,209397
Cairo,Samalut,249437
Cairo,Bani Mazar,223894
Cairo,Armant,655717
Cairo,Kawm Umbu,838969
Cairo,Bur Fu'ad,198993
Cairo,Rosetta,272114
Cairo,Isna,715026
Cairo,Hihya,100446
Cairo,Matruh,450522
Cairo,Dandarah,585677
Cairo,Matay,232071
Cairo,San al Hajar al Qibliyah,169228
Cairo,Dayr Mawas,326467
Cairo,Ihnasya al Madinah,145776
Cairo,Faraskur,179434
Cairo,Daraw,846792
Cairo,Ra's Gharib,317271
Cairo,Al Husayniyah,158142
Cairo,Safaja,520892
Cairo,Al Qusayr,609048
Cairo,Qift,613968
Cairo,Kafr Sa'd,176422
Cairo,Siwah,749687
Cairo,Fayid,125680
Cairo,Naqadah,614441
Cairo,Dayr Abu Hinnis,322230
Cairo,Al Hibah,195212
Cairo,Sakha,129349
Cairo,Qantir,131968
Cairo,Sidmant al Jabal,145776
Cairo,Dayr al Barsha,319853
Cairo,Ad Dab'ah,321118
Cairo,Dishashah,160671
Cairo,Burj al 'Arab,221733
Cairo,Sawadah,271388
Cairo,Abjij,110180
Cairo,Dayr as Sanquriyah,219667
Cairo,Tihna al Jabal,255340
Cairo,As Sallum,660652
Cairo,Al 'Alamayn,262122
Cairo,Mandishah,363089
Cairo,Qasr al Farafirah,545130
Cairo,Al Qasr,807907
Cairo,Barnis,897411
Giza,Cairo,11621
Giza,Giza,0
Giza,Alexandria,222367
Giza,Madinat as Sadis min Uktubar,37347
Giza,Shubra al Khaymah,20776
Giza,Al Mansurah,151583
Giza,Halwan,24533
Giza,Al Mahallah al Kubra,137470
Giza,Port Said,205336
Giza,Suez,144778
Giza,Tanta,111792
Giza,Asyut,366924
Giza,Al Fayyum,95090
Giza,Az Zaqaziq,100362
Giza,Ismailia,133861
Giza,Kafr ad Dawwar,242089
Giza,Aswan,867484
Giza,Damanhur,177896
Giza,Al Minya,266507
Giza,Damietta,252231
Giza,Qina,574773
Giza,Bani Suwayf,143398
Giza,Luxor,654870
Giza,Suhaj,506288
Giza,Shibin al Kawm,124089
Giza,Al 'Arish,334548
Giza,Banha,71993
Giza,Al Ghardaqah,459031
Giza,Kafr ash Shaykh,150895
Giza,Mallawi,313508
Giza,Disuq,189802
Giza,Bilbays,79486
Giza,Idfu,760159
Giza,Mit Ghamr,110465
Giza,Munuf,108270
Giza,Jirja,513203
Giza,Akhmim,501342
Giza,Zifta,116194
Giza,Manfalut,367923
Giza,Maghaghah,204796
Giza,Al Qusiyah,346668
Giza,Abnub,356636
Giza,Samannud,136817
Giza,Abu Qir,250392
Giza,Al Kharjah,591535
Giza,Al Balyana,530514
Giza,Naj' Hammadi,563732
Giza,Al Karnak,653326
Giza,Qiman al 'Arus,101289
Giza,Qaha,48599
Giza,Hirriyat Raznah,102450
Giza,Mit Nama,20774
Giza,Kafr Shukr,89525
Giza,Sharunah,210332
Giza,Bani Murr,362457
Giza,Sunbat,123582
Giza,Bani Hasan ash Shuruq,298272
Giza,Biyahmu,87163
Giza,Al Madamud,643712
Giza,Birqash,38053
Giza,Mit Damsis,124248
Giza,At Tur,406416
Giza,Qufadah,208389
Giza,Shanhur,621112
Giza,Dayr al Jarnus,199284
Giza,Samalut,239324
Giza,Bani Mazar,217822
Giza,Armant,649646
Giza,Kawm Umbu,832897
Giza,Bur Fu'ad,209608
Giza,Rosetta,276649
Giza,Isna,708955
Giza,Hihya,110729
Giza,Matruh,455056
Giza,Dandarah,579605
Giza,Matay,225999
Giza,San al Hajar al Qibliyah,179843
Giza,Dayr Mawas,320396
Giza,Ihnasya al Madinah,135663
Giza,Faraskur,199710
Giza,Daraw,840720
Giza,Ra's Gharib,310154
Giza,Al Husayniyah,168757
Giza,Safaja,513775
Giza,Al Qusayr,601930
Giza,Qift,607896
Giza,Kafr Sa'd,196698
Giza,Siwah,754222
Giza,Fayid,136296
Giza,Naqadah,608369
Giza,Dayr Abu Hinnis,316159
Giza,Al Hibah,189140
Giza,Sakha,149716
Giza,Qantir,146823
Giza,Sidmant al Jabal,135663
Giza,Dayr al Barsha,313781
Giza,Ad Dab'ah,325652
Giza,Dishashah,150558
Giza,Burj al 'Arab,226267
Giza,Sawadah,265316
Giza,Abjij,100068
Giza,Dayr as Sanquriyah,209554
Giza,Tihna al Jabal,249268
Giza,As Sallum,665187
Giza,Al 'Alamayn,266656
Giza,Mandishah,360276
Giza,Qasr al Farafirah,542318
Giza,Al Qasr,805094
Giza,Barnis,890294
Alexandria,Cairo,218616
Alexandria,Giza,221834
Alexandria,Alexandria,0
Alexandria,Madinat as Sadis min Uktubar,211441
Alexandria,Shubra al Khaymah,226179
Alexandria,Al Mansurah,233914
Alexandria,Halwan,258441
Alexandria,Al Mahallah al Kubra,153552
Alexandria,Port Said,259974
Alexandria,Suez,354740
Alexandria,Tanta,125659
Alexandria,Asyut,591452
Alexandria,Al Fayyum,297217
Alexandria,Az Zaqaziq,249370
Alexandria,Ismailia,346958
Alexandria,Kafr ad Dawwar,31984
Alexandria,Aswan,1071503
Alexandria,Damanhur,63833
Alexandria,Al Minya,470676
Alexandria,Damietta,209466
Alexandria,Qina,799301
Alexandria,Bani Suwayf,345525
Alexandria,Luxor,879398
Alexandria,Suhaj,730816
Alexandria,Shibin al Kawm,140915
Alexandria,Al 'Arish,489614
Alexandria,Banha,215169
Alexandria,Al Ghardaqah,678740
Alexandria,Kafr ash Shaykh,124352
Alexandria,Mallawi,538036
Alexandria,Disuq,88058
Alexandria,Bilbays,263727
Alexandria,Idfu,984687
Alexandria,Mit Ghamr,161935
Alexandria,Munuf,197247
Alexandria,Jirja,737730
Alexandria,Akhmim,725870
Alexandria,Zifta,155094
Alexandria,Manfalut,571885
Alexandria,Maghaghah,406923
Alexandria,Al Qusiyah,548602
Alexandria,Abnub,581164
Alexandria,Samannud,165164
Alexandria,Abu Qir,35288
Alexandria,Al Kharjah,793662
Alexandria,Al Balyana,755042
Alexandria,Naj' Hammadi,788260
