from,to,distance
Cairo,Cairo,0.0
Cairo,Giza,8130.076718055378
Cairo,Alexandria,179428.90354358967
Cairo,Madinat as Sadis min Uktubar,32919.67917296592
Cairo,Shubra al Khaymah,8066.131670815564
Cairo,Al Mansurah,111372.29538149449
Cairo,Halwan,25509.199054074368
Cairo,Al Mahallah al Kubra,101493.32362302048
Cairo,Port Said,166116.4566179965
Cairo,Suez,124980.47090932056
Cairo,Tanta,84056.1446241634
Cairo,Asyut,319109.48963390285
Cairo,Al Fayyum,92777.58019037533
Cairo,Az Zaqaziq,62042.911211023835
Cairo,Ismailia,114715.02454657538
Cairo,Kafr ad Dawwar,160942.5437966354
Cairo,Aswan,683550.7249490311
Cairo,Damanhur,132997.36717081335
Cairo,Al Minya,224461.62603475587
Cairo,Damietta,161192.48478266672
Cairo,Qina,456090.1134013186
Cairo,Bani Suwayf,111047.36675337888
Cairo,Luxor,503933.6622559098
Cairo,Suhaj,391194.406483419
Cairo,Shibin al Kawm,67912.31432915601
Cairo,Al 'Arish,272433.27767920407
Cairo,Banha,45585.02730749814
Cairo,Al Ghardaqah,399735.55685015727
Cairo,Kafr ash Shaykh,119336.65988457135
Cairo,Mallawi,261454.02356005623
Cairo,Disuq,132233.6881653946
Cairo,Bilbays,50954.952716276544
Cairo,Idfu,587312.8221668524
Cairo,Mit Ghamr,73767.50965796702
Cairo,Munuf,54302.92187603284
Cairo,Jirja,417880.34126911126
Cairo,Akhmim,391435.3784885132
Cairo,Zifta,72921.63289350153
Cairo,Manfalut,306168.03934713424
Cairo,Maghaghah,161203.86153670447
Cairo,Al Qusiyah,293745.5579551161
Cairo,Abnub,310289.7126451758
Cairo,Samannud,100754.16069768263
Cairo,Abu Qir,179505.69066513603
Cairo,Al Kharjah,517746.5252235831
Cairo,Al Balyana,431595.5430445662
Cairo,Naj' Hammadi,456355.40470539755
Cairo,Al Karnak,502062.2951123846
Cairo,Qiman al 'Arus,84299.18758909056
Cairo,Qaha,25545.837919641264
Cairo,Hirriyat Raznah,67174.10513835242
Cairo,Mit Nama,9930.714166614669
Cairo,Kafr Shukr,54651.265938699486
Cairo,Sharunah,166867.9679472888
Cairo,Bani Murr,314589.96889513626
Cairo,Sunbat,83409.58109397512
Cairo,Bani Hasan ash Shuruq,238894.4713244195
Cairo,Biyahmu,84934.18164767325
Cairo,Al Madamud,501982.5218029395
Cairo,Birqash,22798.736224295993
Cairo,Mit Damsis,85701.94456200977
Cairo,At Tur,307204.8133565365
Cairo,Qufadah,170581.80031983613
Cairo,Shanhur,490381.8695012246
Cairo,Dayr al Jarnus,168886.41448793354
Cairo,Samalut,201754.68571903
Cairo,Bani Mazar,178200.93085163052
Cairo,Armant,509755.61543915246
Cairo,Kawm Umbu,644069.9192926849
Cairo,Bur Fu'ad,166944.19016673655
Cairo,Rosetta,168878.07020943277
Cairo,Isna,545231.199880117
Cairo,Hihya,75987.749308729
Cairo,Matruh,408494.42299806024
Cairo,Dandarah,457244.75410771655
Cairo,Matay,187587.31953049285
Cairo,San al Hajar al Qibliyah,119368.38829172942
Cairo,Dayr Mawas,271175.07086598314
