city,lat,lng
Cairo,30.0561,31.2394
Giza,29.9870,31.2118
Alexandria,31.2000,29.9167
Madinat as Sadis min Uktubar,29.9361,30.9269
Shubra al Khaymah,30.1286,31.2422
Al Mansurah,31.0500,31.3833
Halwan,29.8419,31.3342
Al Mahallah al Kubra,30.9667,31.1667
Port Said,31.2500,32.2833
Suez,29.9667,32.5333
Tanta,30.7833,31.0000
Asyut,27.1869,31.1714
Al Fayyum,29.3000,30.8333
Az Zaqaziq,30.5667,31.5000
Ismailia,30.5833,32.2667
Kafr ad Dawwar,31.1417,30.1272
Aswan,24.0889,32.8997
Damanhur,31.0500,30.4667
Al Minya,28.0833,30.7500
Damietta,31.4167,31.8214
Qina,26.1667,32.7167
Bani Suwayf,29.0667,31.0833
Luxor,25.6969,32.6422
Suhaj,26.5606,31.6917
Shibin al Kawm,30.5920,30.9000
Al 'Arish,31.1249,33.8006
Banha,30.4628,31.1797
Al Ghardaqah,27.2578,33.8117
Kafr ash Shaykh,31.1000,30.9500
Mallawi,27.7306,30.8425
Disuq,31.1308,30.6479
Bilbays,30.4167,31.5667
Idfu,24.9781,32.8789
Mit Ghamr,30.7192,31.2628
Munuf,30.4667,30.9333
Jirja,26.3419,31.8894
Akhmim,26.5642,31.7461
Zifta,30.7119,31.2394
Manfalut,27.3128,30.9703
Maghaghah,28.6483,30.8422
Al Qusiyah,27.4403,30.8183
Abnub,27.2667,31.1500
Samannud,30.9622,31.2425
Abu Qir,31.3167,30.0667
Al Kharjah,25.4400,30.5500
Al Balyana,26.2329,31.9993
Naj' Hammadi,26.0500,32.2500
Al Karnak,25.7184,32.6581
Qiman al 'Arus,29.3005,31.1683
Qaha,30.2833,31.2000
Hirriyat Raznah,30.6028,31.5372
Mit Nama,30.1453,31.2343
Kafr Shukr,30.5470,31.2673
Sharunah,28.5940,30.8516
Bani Murr,27.2272,31.1944
Sunbat,30.8057,31.2070
Bani Hasan ash Shuruq,27.9314,30.8753
Biyahmu,29.3696,30.8538
Al Madamud,25.7333,32.7125
Birqash,30.1692,31.0417
Mit Damsis,30.8267,31.2226
At Tur,28.2333,33.6167
Qufadah,28.5812,30.7554
Shanhur,25.8604,32.7779
Dayr al Jarnus,28.6100,30.7067
Samalut,28.3000,30.7167
Bani Mazar,28.5000,30.8000
Armant,25.6167,32.5333
Kawm Umbu,24.4667,32.9500
Bur Fu'ad,31.2314,32.3253
Rosetta,31.4014,30.4194
Isna,25.2933,32.5564
Hihya,30.6687,31.5904
Matruh,31.3333,27.2333
Dandarah,26.1422,32.6697
Matay,28.4167,30.7833
San al Hajar al Qibliyah,30.9769,31.8800
Dayr Mawas,27.6414,30.8494
Ihnasya al Madinah,29.0856,30.9344
Faraskur,31.3297,31.7147
Daraw,24.4003,32.9306
Ra's Gharib,28.3597,33.0775
Al Husayniyah,30.8612,31.9190
Safaja,26.7517,33.9344
Al Qusayr,26.1091,34.2760
Qift,26.0000,32.8167
Kafr Sa'd,31.3557,31.6848
Siwah,29.2000,25.5167
Fayid,30.3261,32.2986
Naqadah,25.9017,32.7242
Dayr Abu Hinnis,27.7864,30.9050
Al Hibah,28.8000,30.9167
Sakha,31.0881,30.9456
Qantir,30.8032,31.8379
Sidmant al Jabal,29.0856,30.9344
Dayr al Barsha,27.7572,30.9100
Ad Dab'ah,31.0338,28.4333
Dishashah,28.9831,30.8492
Burj al 'Arab,30.9167,29.5333
Sawadah,28.0775,30.7953
Abjij,29.2861,30.8152
Dayr as Sanquriyah,28.4833,30.6500
Tihna al Jabal,28.1889,30.7694
As Sallum,31.5525,25.1575
Al 'Alamayn,30.8333,28.9500
Mandishah,28.3515,28.9317
Qasr al Farafirah,27.0671,27.9666
Al Qasr,25.6959,28.8837
Barnis,23.9460,35.4842
